timestamp,ambient (ground),tank (left),ambient (tank),tank (right),line (outer),line (inner)
1564273871.11,516,596,520,603,522,478
1564273872.11,516,596,520,602,522,478
1564273873.11,516,596,519,603,522,478
1564273874.11,515,596,519,601,522,478
1564273875.12,515,596,519,602,522,479
1564273876.12,515,598,520,602,522,478
1564273877.12,515,597,520,606,521,478
1564273878.12,516,597,521,602,523,478
1564273879.12,515,597,521,603,522,478
1564273880.12,515,596,521,603,523,478
1564273881.13,515,596,521,604,522,478
1564273882.13,516,597,521,602,522,478
1564273883.13,515,596,522,603,522,477
1564273884.13,515,597,522,602,523,478
1564273885.13,515,596,523,602,522,478
1564273886.14,515,596,522,602,522,478
1564273887.14,515,596,523,603,522,478
1564273888.14,515,596,523,603,522,478
1564273889.14,515,596,523,603,522,478
1564273890.15,516,596,523,602,522,478
1564273891.15,516,596,523,603,522,478
1564273892.15,515,596,523,603,522,478
1564273893.15,516,597,523,602,522,478
1564273894.15,516,596,523,603,522,478
1564273895.16,516,596,524,602,522,478
1564273896.16,516,596,524,603,522,478
1564273897.16,516,596,524,602,522,478
1564273898.16,516,596,524,602,522,478
1564273899.16,516,596,524,602,522,478
1564273900.16,515,596,524,602,522,478
1564273901.17,515,596,523,603,522,478
1564273902.17,515,596,523,603,522,478
1564273903.17,515,596,523,602,522,478
1564273904.17,516,596,522,603,522,478
1564273905.17,515,596,523,602,522,478
1564273906.18,515,596,522,603,522,478
1564273907.18,515,596,522,602,522,478
1564273908.18,515,596,522,603,522,478
1564273909.18,515,596,522,602,522,478
1564273910.19,515,596,522,603,522,478
1564273911.19,516,596,521,602,522,478
1564273912.19,515,596,521,602,522,478
1564273913.19,516,596,521,602,522,478
1564273914.19,516,596,521,602,522,478
1564273915.2,515,596,521,602,522,478
1564273916.2,515,596,521,602,522,478
1564273917.2,515,596,522,602,522,478
1564273918.2,516,596,522,602,522,478
1564273919.2,516,596,522,602,523,478
1564273920.2,516,596,522,602,522,478
1564273921.21,516,596,522,602,522,478
1564273922.21,515,596,522,602,522,478
1564273923.21,516,596,522,602,522,478
1564273924.21,515,596,522,602,522,478
1564273925.21,516,596,522,602,522,478
1564273926.22,516,596,522,602,522,478
1564273927.22,516,596,523,602,522,478
1564273928.22,516,596,523,601,522,477
1564273929.22,516,596,522,601,522,478
1564273930.22,515,596,522,601,523,478
1564273931.23,516,596,522,602,523,478
1564273932.23,516,596,522,602,523,478
1564273933.23,516,597,521,602,523,478
1564273934.23,516,597,521,603,523,477
1564273935.24,515,598,521,603,523,477
1564273936.24,516,598,521,605,523,477
1564273937.24,516,598,521,605,523,477
1564273938.24,516,598,521,604,523,477
1564273939.24,515,598,521,605,523,477
1564273940.25,515,598,521,605,522,477
1564273941.25,515,598,521,606,523,477
1564273942.25,515,598,522,606,523,477
1564273943.25,515,598,522,606,522,477
1564273944.25,516,598,522,606,522,477
1564273945.25,515,598,523,606,522,478
1564273946.26,515,599,522,606,523,477
1564273947.26,515,599,522,605,523,477
1564273948.26,516,599,521,605,522,477
1564273949.26,515,599,522,605,523,478
1564273950.26,516,600,522,605,522,477
1564273951.27,516,599,522,604,522,478
1564273952.27,516,599,522,604,522,477
1564273953.27,516,598,523,604,522,478
1564273954.27,516,598,523,604,522,478
